Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
arena,-1.07796256326989E-16,5.24094761893937E-16,0.251860663172305,0,0,0,36196.5475825679,111361.282109728,-5.68961615328298E-11,1.47345935311266E-12,512546.576764148,6.31493583110209E-12,621439.168724381,0,0,0,0,0,0,package://field/meshes/arena.STL,0.756862745098039,0.964705882352941,1,1,0,0,0,0,0,0,package://field/meshes/arena.STL,,base_arena-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
slope,-0.331974275290728,-0.125,0,0,0,0,420,143.15,0,-3.70074341541719E-15,157.15,6.30512779412488E-32,20.3,0,0,0,0,0,0,package://field/meshes/slope.STL,0.988235294117647,0.737254901960784,0.517647058823529,1,0,0,0,0,0,0,package://field/meshes/slope.STL,,jump-1,Origin_slope_joint,Axis_slope_joint,slope_joint,fixed,0,-3,0.375,1.5708,0,0,arena,1,0,0,,,,,,,,,,,,
rubble,-1.00575680043092,0.00661190412065712,0.0035970917734951,0,0,0,46.4124999999998,15.2630731070815,0.00197400686776215,0.00555265149334858,30.3300250056683,-0.0017007679007558,15.0694080090995,0,0,0,0,0,0,package://field/meshes/rubble.STL,1,0.752941176470588,1,1,0,0,0,0,0,0,package://field/meshes/rubble.STL,,rubble-1,Origin_rubble_joint,Axis_rubble_joint,rubble_joint,fixed,-1.6666,3,0.1,1.5708,0,0,arena,0,0,0,,,,,,,,,,,,
wall_1,-4.44089209850063E-16,0.5,0.1,0,0,0,200,17.3333333333333,-1.49560497243821E-30,-1.5149918356864E-16,17.3333333333333,9.4039548065783E-32,33.3333333333333,0,0,0,0,0,0,package://field/meshes/wall_1.STL,0.752941176470588,0.752941176470588,1,1,0,0,0,0,0,0,package://field/meshes/wall_1.STL,,wall-1,Origin_wall_1_joint,Axis_wall_1_joint,wall_1_joint,fixed,1.3334,3.5,0.1,1.5708,0,1.5708,arena,0,0,0,,,,,,,,,,,,
wall_2,0,-0.5,0.1,0,0,0,200,17.3333333333334,0,-2.31296463463575E-17,17.3333333333333,5.7176045223996E-32,33.3333333333334,0,0,0,0,0,0,package://field/meshes/wall_2.STL,0.752941176470588,0.752941176470588,1,1,0,0,0,0,0,0,package://field/meshes/wall_2.STL,,wall-2,Origin_wall_2_joint,Axis_wall_2_joint,wall_2_joint,fixed,3.03337213258269,2.5,0.0999999999999998,-1.5707963267949,0,-1.5707963267949,arena,1,0,0,,,,,,,,,,,,
